team,name,position,matches,goals,assists,status
Freiburg,Daniel-Kofi Kyereh,M,0,0,0,Injured
Freiburg,Junior Adamu,F,0,0,0,Suspended
Freiburg,Patrick Osterhage,M,0,0,0,Suspended
Hoffenheim,Christopher Lenz,D,0,0,0,Injured
Hoffenheim,Grischa Prömel,M,0,0,0,Injured
Hoffenheim,Ihlas Bebou,F,0,0,0,Injured
Hoffenheim,Finn Ole Becker,M,0,0,0,Injured
Hoffenheim,Ozan Kabak,D,0,0,0,Injured
Hoffenheim,Marius Bulter ,F,0,0,0,Injured
Hoffenheim,Florian Grillitsch ,M,0,0,0,Injured
Kiel,Marvin Schulz ,M,0,0,0,Injured
Kiel,Steven Skrzybski ,F,0,0,0,Injured
Kiel,A.Bernhardsson,F,0,0,0,Injured
Kiel,Andu Kelati,M,0,0,0,Injured
Kiel,Colin Kleine-Bekel,M,0,0,0,Injured
Mainz ,Gabriel Vidovic,M,0,0,0,Injured
Mainz ,Nelson Weiper,M,0,0,0,Injured
Mainz ,Karim Onisiwo ,F,0,0,0,Injured
Leipzig,Xavi Simons,M,0,0,0,Injured
Leipzig,David Raum,D,0,0,0,Injured
Leipzig,Lukas Klostermann,D,0,0,0,Injured
Leipzig,Assan Ouedraogo,M,0,0,0,Injured
Leipzig,Elif Elmas ,M,0,0,0,Injured
Leipzig,E.C Bitshiabu ,M,0,0,0,Injured
Leipzig,Yussuf Poulsen,F,0,0,0,Injured
St. Pauli,Ben Voll,G,0,0,0,Injured
St. Pauli,Elias Saad,M,0,0,0,Injured
St. Pauli,Connor Metcalfe,M,0,0,0,Injured
St. Pauli,Simon Zoller,F,0,0,0,Injured
St. Pauli,Sascha Burchert,G,0,0,0,Injured
St. Pauli,Soren Ahlers,G,0,0,0,Injured
St. Pauli,Karol Mets ,M,0,0,0,Injured
St. Pauli,Adam Dzwigala ,D,0,0,0,Injured
St. Pauli,Robert Wagner,M,0,0,0,Injured
St. Pauli,Scott Banks ,M,0,0,0,Injured
Union Berlin,Diogo Leite,D,0,0,0,Injured
Union Berlin,Yannic Stein,M,0,0,0,Injured
Union Berlin,Andrej llic,M,0,0,0,Injured
Stuttgart,Luca Raimund,M,0,0,0,Injured
Stuttgart,Dan-Axel Zagadou,D,0,0,0,Injured
Stuttgart,Ameen Al Dakhil,D,0,0,0,Injured
Stuttgart,Jamie Leweling,F,0,0,0,Injured
Stuttgart,El Bilal Toure,F,0,0,0,Injured
Stuttgart,Justin Diehl,M,0,0,0,Injured
Stuttgart,Deniz Undav,F,0,0,0,Injured
Bremen,Felix Agu,D,0,0,0,Injured
Bremen,Felix Agu,F,0,0,0,Injured
